customer_id,credit_score,credit_score_bins,churn,churn_num,country,gender,age,age_bins,tenure,tenure_bins,balance_owed,number_of_products,credit_card,active_member,salary
15634602,619,Fair,Yes,1,France,Female,42,40-50 Years Old,2,1-3 Years,$0.00,1,Yes,Yes,"$101,348.88"
15647311,608,Fair,No,0,Spain,Female,41,40-50 Years Old,1,0-1 Year,"$83,807.86",1,No,Yes,"$112,542.58"
15619304,502,Poor,Yes,1,France,Female,42,40-50 Years Old,8,5+ Years,"$159,660.80",3,Yes,No,"$113,931.57"
15701354,699,Good,No,0,France,Female,39,30-40 Years Old,1,0-1 Year,$0.00,2,No,No,"$93,826.63"
15737888,850,Excellent,No,0,Spain,Female,43,40-50 Years Old,2,1-3 Years,"$125,510.82",1,Yes,Yes,"$79,084.10"
15574012,645,Fair,Yes,1,Spain,Male,44,40-50 Years Old,8,5+ Years,"$113,755.78",2,Yes,No,"$149,756.71"
15592531,822,Excellent,No,0,France,Male,50,40-50 Years Old,7,5+ Years,$0.00,2,Yes,Yes,"$10,062.80"
15656148,376,Poor,Yes,1,Germany,Female,29,20-30 Years Old,4,3-5 Years,"$115,046.74",4,Yes,No,"$119,346.88"
15792365,501,Poor,No,0,France,Male,44,40-50 Years Old,4,3-5 Years,"$142,051.07",2,No,Yes,"$74,940.50"
15592389,684,Good,No,0,France,Male,27,20-30 Years Old,2,1-3 Years,"$134,603.88",1,Yes,Yes,"$71,725.73"
15767821,528,Poor,No,0,France,Male,31,30-40 Years Old,6,5+ Years,"$102,016.72",2,No,No,"$80,181.12"
15737173,497,Poor,No,0,Spain,Male,24,20-30 Years Old,3,1-3 Years,$0.00,2,Yes,No,"$76,390.01"
15632264,476,Poor,No,0,France,Female,34,30-40 Years Old,10,5+ Years,$0.00,2,Yes,No,"$26,260.98"
15691483,549,Poor,No,0,France,Female,25,20-30 Years Old,5,3-5 Years,$0.00,2,No,No,"$190,857.79"
15600882,635,Fair,No,0,Spain,Female,35,30-40 Years Old,7,5+ Years,$0.00,2,Yes,Yes,"$65,951.65"
15643966,616,Fair,No,0,Germany,Male,45,40-50 Years Old,3,1-3 Years,"$143,129.41",2,No,Yes,"$64,327.26"
15737452,653,Fair,Yes,1,Germany,Male,58,50-60 Years Old,1,0-1 Year,"$132,602.88",1,Yes,No,"$5,097.67"
15788218,549,Poor,No,0,Spain,Female,24,20-30 Years Old,9,5+ Years,$0.00,2,Yes,Yes,"$14,406.41"
15661507,587,Fair,No,0,Spain,Male,45,40-50 Years Old,6,5+ Years,$0.00,1,No,No,"$158,684.81"
15568982,726,Good,No,0,France,Female,24,20-30 Years Old,6,5+ Years,$0.00,2,Yes,Yes,"$54,724.03"
15577657,732,Good,No,0,France,Male,41,40-50 Years Old,8,5+ Years,$0.00,2,Yes,Yes,"$170,886.17"
15597945,636,Fair,No,0,Spain,Female,32,30-40 Years Old,8,5+ Years,$0.00,2,Yes,No,"$138,555.46"
15699309,510,Poor,Yes,1,Spain,Female,38,30-40 Years Old,4,3-5 Years,$0.00,1,Yes,No,"$118,913.53"
15725737,669,Fair,No,0,France,Male,46,40-50 Years Old,3,1-3 Years,$0.00,2,No,Yes,"$8,487.75"
15625047,846,Excellent,No,0,France,Female,38,30-40 Years Old,5,3-5 Years,$0.00,1,Yes,Yes,"$187,616.16"
15738191,577,Poor,No,0,France,Male,25,20-30 Years Old,3,1-3 Years,$0.00,2,No,Yes,"$124,508.29"
15736816,756,Very Good,No,0,Germany,Male,36,30-40 Years Old,2,1-3 Years,"$136,815.64",1,Yes,Yes,"$170,041.95"
15700772,571,Poor,No,0,France,Male,44,40-50 Years Old,9,5+ Years,$0.00,2,No,No,"$38,433.35"
15728693,574,Poor,No,0,Germany,Female,43,40-50 Years Old,3,1-3 Years,"$141,349.43",1,Yes,Yes,"$100,187.43"
15656300,411,Poor,No,0,France,Male,29,20-30 Years Old,0,0-1 Year,"$59,697.17",2,Yes,Yes,"$53,483.21"
15589475,591,Fair,Yes,1,Spain,Female,39,30-40 Years Old,3,1-3 Years,$0.00,3,Yes,No,"$140,469.38"
15706552,533,Poor,No,0,France,Male,36,30-40 Years Old,7,5+ Years,"$85,311.70",1,No,Yes,"$156,731.91"
15750181,553,Poor,No,0,Germany,Male,41,40-50 Years Old,9,5+ Years,"$110,112.54",2,No,No,"$81,898.81"
15659428,520,Poor,No,0,Spain,Female,42,40-50 Years Old,6,5+ Years,$0.00,2,Yes,Yes,"$34,410.55"
15732963,722,Good,No,0,Spain,Female,29,20-30 Years Old,9,5+ Years,$0.00,2,Yes,Yes,"$142,033.07"
15794171,475,Poor,Yes,1,France,Female,45,40-50 Years Old,0,0-1 Year,"$134,264.04",1,Yes,No,"$27,822.99"
15788448,490,Poor,No,0,Spain,Male,31,30-40 Years Old,3,1-3 Years,"$145,260.23",1,No,Yes,"$114,066.77"
15729599,804,Excellent,No,0,Spain,Male,33,30-40 Years Old,7,5+ Years,"$76,548.60",1,No,Yes,"$98,453.45"
15717426,850,Excellent,No,0,France,Male,36,30-40 Years Old,7,5+ Years,$0.00,1,Yes,Yes,"$40,812.90"
15585768,582,Fair,No,0,Germany,Male,41,40-50 Years Old,6,5+ Years,"$70,349.48",2,No,Yes,"$178,074.04"
15619360,472,Poor,No,0,Spain,Male,40,30-40 Years Old,4,3-5 Years,$0.00,1,Yes,No,"$70,154.22"
15738148,465,Poor,Yes,1,France,Female,51,50-60 Years Old,8,5+ Years,"$122,522.32",1,No,No,"$181,297.65"
15687946,556,Poor,No,0,France,Female,61,60+ Years Old,2,1-3 Years,"$117,419.35",1,Yes,Yes,"$94,153.83"
15755196,834,Excellent,Yes,1,France,Female,49,40-50 Years Old,2,1-3 Years,"$131,394.56",1,No,No,"$194,365.76"
15684171,660,Fair,No,0,Spain,Female,61,60+ Years Old,5,3-5 Years,"$155,931.11",1,Yes,Yes,"$158,338.39"
15754849,776,Very Good,No,0,Germany,Female,32,30-40 Years Old,4,3-5 Years,"$109,421.13",2,Yes,Yes,"$126,517.46"
